cosmic_id,afatinib,cisplatin,dabrafenib,olaparib,palbociclib,trametinib,vismodegib
683665,0,1,0,0,0,0,0
683667,0,1,0,0,0,0,0
684052,0,0,1,0,0,0,0
684055,0,0,0,0,0,0,1
684057,0,0,0,0,0,1,0
684059,0,1,0,0,0,0,0
684062,0,1,0,0,0,0,0
684072,0,1,0,0,0,0,0
684681,0,0,0,0,0,1,0
687448,0,0,1,0,0,0,0
687452,1,0,0,0,0,0,0
687455,0,1,0,0,0,0,0
687457,0,1,0,0,0,0,0
687459,0,1,0,0,0,0,0
687505,0,1,0,0,0,0,0
687514,0,1,0,0,0,0,0
687561,0,1,0,0,0,0,0
687562,0,1,0,0,0,0,0
687568,0,0,0,0,1,0,0
687586,0,1,0,0,0,0,0
687588,0,1,0,0,0,0,0
687590,0,0,0,0,0,1,0
687592,0,0,0,0,0,1,0
687596,0,1,0,0,0,0,0
687600,0,0,0,1,0,0,0
687777,0,1,0,0,0,0,0
687780,0,1,0,0,0,0,0
687787,0,1,0,0,0,0,0
687798,0,1,0,0,0,0,0
687799,0,1,0,0,0,0,0
687802,0,1,0,0,0,0,0
687804,0,1,0,0,0,0,0
687807,0,0,0,0,0,1,0
687812,0,1,0,0,0,0,0
687815,0,0,0,0,1,0,0
687819,0,0,0,0,1,0,0
687820,0,1,0,0,0,0,0
687821,0,1,0,0,0,0,0
687829,0,1,0,0,0,0,0
687983,0,0,0,0,1,0,0
687985,0,1,0,0,0,0,0
687995,0,1,0,0,0,0,0
687997,0,1,0,0,0,0,0
688001,0,1,0,0,0,0,0
688006,0,1,0,0,0,0,0
688007,0,1,0,0,0,0,0
688010,0,1,0,0,0,0,0
688011,0,0,0,0,0,0,1
688013,0,1,0,0,0,0,0
688014,0,1,0,0,0,0,0
688018,0,1,0,0,0,0,0
688021,0,1,0,0,0,0,0
688023,0,1,0,0,0,0,0
688025,0,1,0,0,0,0,0
688026,0,1,0,0,0,0,0
688027,0,1,0,0,0,0,0
688031,0,1,0,0,0,0,0
688058,0,1,0,0,0,0,0
688086,0,1,0,0,0,0,0
688087,0,1,0,0,0,0,0
688121,0,1,0,0,0,0,0
713869,0,1,0,0,0,0,0
713878,0,1,0,0,0,0,0
713880,0,1,0,0,0,0,0
